customer_id,full_name,email,city,state,loyalty_tier,signup_date,extracted_at
71,Bobby Williams MD,cassandra01@example.org,Port Emilyview,OK,Bronze,2025-06-18,2026-09-21T01:48:16
72,Peter Ruiz,lmoon@example.net,Waltersfort,CO,Platinum,2026-08-09,2026-09-21T01:48:29
73,Jason Morris,hodgemark@example.net,Robertsfurt,GU,Bronze,2025-08-05,2026-09-21T01:48:16
74,Amanda Miller,marcus68@example.org,Gutierrezborough,NC,Platinum,2026-07-29,2026-09-21T01:48:29
75,Peter Garrett,harrisandrea@example.com,Gilmorefort,DE,Bronze,2025-09-15,2026-09-21T01:48:16
76,Mark Lloyd,lancesmith@example.com,East Victoriaville,NH,Platinum,2026-06-06,2026-09-21T01:48:16
77,Maria Moore,william46@example.com,Sanchezside,FL,Silver,2025-10-21,2026-09-21T01:48:16
78,Thomas Romero,michellehill@example.com,Sarahhaven,KY,Platinum,2026-05-12,2026-09-21T01:48:16
79,Diane Evans,cgrimes@example.net,Reedside,WV,Bronze,2026-04-16,2026-09-21T01:48:16
80,Jordan Morris,tinaallen@example.com,Port Kimberly,AZ,Bronze,2026-09-10,2026-09-21T01:48:16
81,John Mcintyre,qhughes@example.net,South Tammie,DC,Silver,2025-12-08,2026-09-21T01:48:29
82,Leslie Kane,dgarcia@example.org,South Monica,FL,Silver,2026-03-11,2026-09-21T01:48:29
83,Richard Baker,vsantos@example.net,Finleyfort,VI,Silver,2025-11-20,2026-09-21T01:48:16
84,Lisa Young,wendy16@example.org,South Garrettport,MH,Bronze,2025-04-06,2026-09-21T01:48:16
85,Frederick Brown,nicholas23@example.net,Knightburgh,GA,Bronze,2025-05-29,2026-09-21T01:48:16
86,Leon Reyes,tyleraguilar@example.org,Littlemouth,KS,Gold,2025-05-01,2026-09-21T01:48:16
87,Stephanie Marshall,erica21@example.com,Vanessaport,SC,Bronze,2025-06-10,2026-09-21T01:48:16
88,Melissa Bryant,james67@example.org,South Ashley,OK,Silver,2026-01-09,2026-09-21T01:48:16
89,Michael Johnson,khill@example.net,New Julieport,WI,Bronze,2025-11-04,2026-09-21T01:48:16
90,Lisa Gomez,christinebyrd@example.net,Lake Colton,SC,Silver,2026-07-27,2026-09-21T01:48:29
91,Ellen Alexander,jessica14@example.com,Thompsonberg,WY,Gold,2026-07-27,2026-09-21T01:48:16
92,Valerie Schmidt,maria47@example.com,Lindamouth,CA,Bronze,2025-10-10,2026-09-21T01:48:16
93,Vincent Dalton,zcoffey@example.net,Christopherfurt,AL,Bronze,2026-06-14,2026-09-21T01:48:16
94,Caleb Richardson,brenda51@example.net,South Angel,FM,Bronze,2026-05-24,2026-09-21T01:48:16
95,Erin Bishop,reidsteven@example.net,Debraville,DC,Gold,2025-05-24,2026-09-21T01:48:29
96,Andrew Ferrell,davispaige@example.org,Chavezside,MT,Silver,2025-07-08,2026-09-21T01:48:29
97,Molly Mcclure,basschristina@example.com,Lake Mitchellmouth,NV,Gold,2026-03-12,2026-09-21T01:48:16
98,Savannah Garcia,amy50@example.com,Jamesville,PR,Bronze,2025-07-19,2026-09-21T01:48:16
99,Anna Lewis,williamsmatthew@example.org,North Maria,OH,Bronze,2025-10-10,2026-09-21T01:48:16
100,Daniel Kane,kim90@example.com,South Colinstad,PA,Bronze,2025-08-20,2026-09-21T01:48:29
101,Matthew Johnson,howardkristina@example.net,Alfredview,AR,Bronze,2026-01-09,2026-09-21T01:48:16
102,Jason Wilson,alvarezkimberly@example.net,South Williamton,VA,Bronze,2025-06-15,2026-09-21T01:48:16
103,Sharon Boyd,bschneider@example.org,Boonechester,TX,Bronze,2025-07-08,2026-09-21T01:48:16
104,Micheal Wallace,morriseddie@example.org,Claudiashire,OH,Platinum,2025-04-14,2026-09-21T01:48:29
105,Jane Harper,shawn96@example.org,Port Dianaside,VA,Silver,2025-11-27,2026-09-21T01:48:29
106,Jessica Beasley,dmorgan@example.com,Blairmouth,NE,Bronze,2026-08-09,2026-09-21T01:48:16
107,David Mckay,fjones@example.org,Davisstad,AS,Gold,2026-05-14,2026-09-21T01:48:16
108,Anthony Frye,elizabeth65@example.net,Parrishton,LA,Bronze,2025-09-14,2026-09-21T01:48:16
109,Heather Lane,ericolson@example.org,Meganstad,DE,Bronze,2026-05-03,2026-09-21T01:48:16
110,Laura Aguirre,lynchdiane@example.net,Anthonyview,UT,Bronze,2026-07-08,2026-09-21T01:48:16
111,Tammy Bell,mollyknight@example.com,East Joycetown,CO,Bronze,2026-08-10,2026-09-21T01:48:16
112,Cindy Barnes,eric45@example.net,North Ericton,TX,Bronze,2026-01-27,2026-09-21T01:48:16
113,Jeremy Coleman,nperry@example.net,West Russellport,TX,Silver,2025-05-28,2026-09-21T01:48:16
114,Katelyn Estrada,walkertracey@example.org,East Kevinborough,WI,Silver,2025-05-31,2026-09-21T01:48:16
115,David Murphy,jimenezryan@example.org,Patelbury,NY,Silver,2025-05-27,2026-09-21T01:48:29
116,Mary Gomez,chensley@example.com,South Samanthamouth,OK,Bronze,2026-07-31,2026-09-21T01:48:16
117,Jared Bowman,darius05@example.org,Collierstad,CO,Bronze,2025-09-07,2026-09-21T01:48:16
118,Brian Graham,zwarren@example.com,Jeffreyburgh,CA,Bronze,2026-09-01,2026-09-21T01:48:16
119,Ashley Hicks,michael23@example.org,West James,PA,Bronze,2025-10-06,2026-09-21T01:48:16
120,Peter Jones,kmarshall@example.net,Maldonadoshire,SD,Silver,2025-06-07,2026-09-21T01:48:16
121,Lori Lin,edward17@example.com,Laurashire,AR,Bronze,2025-11-25,2026-09-21T01:48:16
122,Benjamin Murray,brownmarie@example.org,New Brookefurt,NH,Silver,2025-12-07,2026-09-21T01:48:16
123,Tiffany Stevenson,colelisa@example.net,West Cassidy,NY,Silver,2025-05-09,2026-09-21T01:48:16
124,Antonio Garcia,toni18@example.net,North John,NV,Silver,2026-06-02,2026-09-21T01:48:16
125,Kelly Bishop MD,paul59@example.org,Cameronville,OH,Bronze,2026-09-16,2026-09-21T01:48:16
126,Diane Cummings,mathewaguilar@example.org,Kylefurt,DC,Bronze,2025-12-22,2026-09-21T01:48:16
127,Teresa Collins,vschneider@example.org,Lake Ellenhaven,MN,Bronze,2026-02-14,2026-09-21T01:48:16
128,Eric Bean,stacey73@example.org,East Chris,PR,Silver,2026-05-09,2026-09-21T01:48:29
129,Katie Fernandez,stanleynancy@example.net,New Nicholas,GA,Bronze,2026-01-31,2026-09-21T01:48:16
130,Michael Weber,jenniferwilliams@example.com,South Cheryl,WV,Bronze,2025-06-12,2026-09-21T01:48:16
131,Joann Ferguson,tammy73@example.com,Murrayport,WI,Bronze,2025-07-10,2026-09-21T01:48:16
132,Joseph Burch,laurietaylor@example.com,Lake Timothystad,OH,Bronze,2025-11-03,2026-09-21T01:48:16
133,Michelle Black,mitchellkathryn@example.com,Whiteheadberg,MP,Gold,2025-08-12,2026-09-21T01:48:16
134,Travis Walker,bwilkerson@example.com,South Waynebury,MS,Gold,2025-06-08,2026-09-21T01:48:16
135,Jade Johnson DVM,lacey20@example.com,Hortonberg,WV,Bronze,2026-04-12,2026-09-21T01:48:16
136,Joan Smith,smithjason@example.org,Rodriguezport,IA,Gold,2026-06-21,2026-09-21T01:48:16
137,Anthony Barnes,fbrown@example.net,Lake Zacharybury,VT,Silver,2026-02-02,2026-09-21T01:48:16
138,Jeffrey Mendez,ashleylopez@example.net,New Theresaland,NC,Silver,2025-04-07,2026-09-21T01:48:16
139,Rachel Romero,myerstheodore@example.net,Zavalaview,WA,Gold,2026-01-30,2026-09-21T01:48:16
140,Richard Cooper,ingramjill@example.com,North Michael,MA,Gold,2025-07-14,2026-09-21T01:48:16
141,Carrie Maxwell,epollard@example.net,Port Dennis,VT,Bronze,2025-08-14,2026-09-21T01:48:16
142,Judith Carter,moodynina@example.com,Zacharyside,NJ,Silver,2025-07-17,2026-09-21T01:48:16
143,Paul Lee,michelle05@example.com,Port Michealfurt,WA,Silver,2025-09-05,2026-09-21T01:48:29
144,Tyler Morgan,tylerjimenez@example.net,Lauriechester,CO,Silver,2025-10-31,2026-09-21T01:48:16
145,Zachary White,manuel15@example.net,Kirkchester,GA,Silver,2025-10-24,2026-09-21T01:48:16
146,Heather Williams,christina64@example.net,North Emilyfurt,MN,Bronze,2025-12-25,2026-09-21T01:48:16
147,Nicole Moore,thomascathy@example.com,East Carlosstad,MN,Gold,2025-12-12,2026-09-21T01:48:16
148,Keith Jacobs,xrush@example.com,New Devinstad,MO,Bronze,2025-05-21,2026-09-21T01:48:16
149,Donald Horne,fitzgeraldvictor@example.com,West Kimberlymouth,IL,Gold,2026-06-06,2026-09-21T01:48:16
150,Donna Hendricks DDS,taylorcharles@example.org,Osbornmouth,TN,Bronze,2025-05-14,2026-09-21T01:48:16
151,Austin Daniels,melissa25@example.net,North Tracie,WY,Silver,2025-08-10,2026-09-21T01:48:16
152,Richard Johnson,tanner82@example.net,North Kylefort,NC,Bronze,2025-12-23,2026-09-21T01:48:16
153,Jason Andrews,teresaday@example.com,Frazierstad,DC,Silver,2026-06-25,2026-09-21T01:48:16
154,Penny Bowman,katrinaanderson@example.net,Port Davidberg,ME,Silver,2026-06-10,2026-09-21T01:48:16
155,Frank Fletcher,stacey84@example.org,Jamesside,KY,Bronze,2025-07-22,2026-09-21T01:48:16
156,Eric Ferguson,brittanycarpenter@example.org,Meganshire,AZ,Bronze,2025-08-29,2026-09-21T01:48:16
157,Alyssa Williams,debra96@example.net,South Pamelaside,LA,Silver,2026-04-12,2026-09-21T01:48:16
158,Elizabeth Sanchez,eevans@example.net,East Scottfort,NH,Bronze,2025-08-28,2026-09-21T01:48:16
159,Lawrence Edwards,jessica56@example.org,Zacharyville,MD,Bronze,2025-05-11,2026-09-21T01:48:16
160,Bryan Cole,colinroberts@example.com,Wrightburgh,GU,Platinum,2025-05-09,2026-09-21T01:48:29
161,Kenneth Edwards,tyronerobertson@example.com,Tylerland,MO,Silver,2025-10-31,2026-09-21T01:48:16
162,Tracy Lewis,brandon47@example.net,Mitchelltown,PR,Bronze,2025-07-13,2026-09-21T01:48:16
163,Cesar Baker,kathryn50@example.com,New Annastad,OH,Platinum,2026-05-20,2026-09-21T01:48:16
164,James Cole,marcia99@example.org,North Phillip,WY,Platinum,2025-09-04,2026-09-21T01:48:29
165,Ms. Holly Thomas,cporter@example.org,Lake Mason,NJ,Gold,2025-11-27,2026-09-21T01:48:16
166,Brittany Barry,markaustin@example.org,Ewingport,OR,Gold,2025-09-27,2026-09-21T01:48:16
167,Ronald Patel,thomas05@example.com,Lake Mark,WI,Bronze,2025-04-24,2026-09-21T01:48:29
168,Walter Patton,jennifersilva@example.org,Hernandezbury,AZ,Gold,2026-03-05,2026-09-21T01:48:29
169,Melody Lee,jedwards@example.com,South Warren,RI,Gold,2026-05-25,2026-09-21T01:48:16
170,Shelley Fitzgerald,thorntonapril@example.net,Whitneyfort,NC,Bronze,2025-12-09,2026-09-21T01:48:16
171,Tyler Stevens,amy49@example.com,East Joshua,ME,Bronze,2025-07-18,2026-09-21T01:48:16
172,William Evans,janet75@example.com,Annview,LA,Gold,2025-05-08,2026-09-21T01:48:16
173,Michael James,xcardenas@example.org,Bobbyland,MI,Bronze,2025-11-12,2026-09-21T01:48:16
174,Mary Burgess,jamesryan@example.net,Derrickshire,IA,Bronze,2026-07-14,2026-09-21T01:48:16
175,Michael Schmidt,briangutierrez@example.net,Garciaberg,AL,Bronze,2025-11-18,2026-09-21T01:48:16
176,Vanessa Moore,mwoods@example.com,Carlshire,FM,Bronze,2025-10-13,2026-09-21T01:48:29
177,Marissa Hall,gentrygregory@example.org,Port Randyfort,HI,Gold,2026-01-09,2026-09-21T01:48:16
178,Tonya Howe,smithashley@example.org,Justinside,NC,Bronze,2026-01-09,2026-09-21T01:48:16
179,Todd Rosales MD,lisarivera@example.net,Wongburgh,AL,Bronze,2026-09-02,2026-09-21T01:48:16
180,Rachel Bradley,gregorychase@example.com,Robertsonland,MO,Gold,2026-03-04,2026-09-21T01:48:16
181,Cathy Taylor,shari04@example.com,South Karen,MA,Gold,2025-07-26,2026-09-21T01:48:16
182,Nathan Smith,heather01@example.com,Erikhaven,MH,Bronze,2025-12-22,2026-09-21T01:48:16
183,Patricia Vaughn,michael33@example.org,Hernandezstad,MT,Bronze,2025-12-26,2026-09-21T01:48:16
184,Susan Todd,kathleenbecker@example.net,New Seanstad,CA,Bronze,2026-06-17,2026-09-21T01:48:16
185,Ashley Poole,ashleyhernandez@example.com,Wilsonborough,VT,Bronze,2026-02-14,2026-09-21T01:48:16
186,Ann Dixon,chavezwilliam@example.com,New Stevenport,VA,Bronze,2026-09-04,2026-09-21T01:48:16
187,David Smith,bethwilliams@example.com,New Virginialand,NJ,Bronze,2025-10-10,2026-09-21T01:48:16
188,Jason Mack,ybrooks@example.com,Bennettside,DC,Bronze,2026-06-19,2026-09-21T01:48:16
189,Hannah White,urice@example.org,Port Andrewport,NH,Bronze,2025-10-17,2026-09-21T01:48:16
190,Kimberly Patel,johnreed@example.com,Lake Kathy,AZ,Gold,2025-06-09,2026-09-21T01:48:16
191,Jennifer Miranda,allencarlos@example.net,South Carlaton,IA,Silver,2026-03-03,2026-09-21T01:48:16
192,Jennifer Young,karenparsons@example.org,Jimshire,MD,Silver,2025-08-04,2026-09-21T01:48:16
193,Patricia Cardenas,kevinthomas@example.net,South Kevin,AR,Bronze,2026-01-31,2026-09-21T01:48:16
194,Leslie Moss,conniesimmons@example.com,West Shellyfurt,WY,Bronze,2026-05-22,2026-09-21T01:48:16
195,Melissa Russell,nicholas87@example.org,West Meredith,FL,Silver,2026-01-26,2026-09-21T01:48:16
196,Suzanne Hart,igrant@example.com,West James,SD,Bronze,2025-10-12,2026-09-21T01:48:16
197,Jerry Watson,brettbennett@example.net,Port Charlesshire,VA,Gold,2026-04-22,2026-09-21T01:48:29
198,Claire Clark,kevin03@example.org,Lake Yvonnefort,PW,Silver,2025-09-24,2026-09-21T01:48:16
199,Larry Harris,andrearowe@example.com,Fergusonstad,ME,Bronze,2026-02-01,2026-09-21T01:48:16
200,Jose Crawford,langjennifer@example.com,West Lawrence,AZ,Bronze,2025-03-30,2026-09-21T01:48:16
201,Connie Thomas,angela99@example.net,Phillipsborough,MA,Bronze,2025-10-31,2026-09-21T01:48:16
202,Kelly Sanchez,jonathan77@example.com,Lake Laura,GA,Bronze,2026-02-22,2026-09-21T01:48:16
203,Joshua White,warrenmary@example.org,Port Adamberg,MP,Silver,2026-06-25,2026-09-21T01:48:16
204,Andrea Hernandez,williambrooks@example.net,Hopkinstown,AL,Silver,2026-09-04,2026-09-21T01:48:29
205,Jennifer Smith,amanda40@example.net,Drakeburgh,CT,Silver,2025-09-19,2026-09-21T01:48:16
206,Kelly Allen,lisa46@example.org,Susanmouth,OK,Bronze,2026-01-14,2026-09-21T01:48:16
207,Michael Evans,valdezmichele@example.org,South Nicholasside,NJ,Bronze,2026-03-08,2026-09-21T01:48:16
208,Adam Jackson,pbruce@example.com,New Samanthabury,IL,Silver,2025-11-25,2026-09-21T01:48:16
209,Melissa Knight,brandon14@example.net,East Sarahmouth,AK,Gold,2025-11-15,2026-09-21T01:48:16
210,Laurie Goodwin,thickman@example.org,New Mary,MS,Bronze,2025-08-27,2026-09-21T01:48:16
211,Kimberly Reyes,krystalnorris@example.org,Brianchester,IN,Platinum,2025-12-05,2026-09-21T01:48:16
212,Gina Mack,unovak@example.org,Kristenmouth,NM,Bronze,2025-06-12,2026-09-21T01:48:16
213,Juan Bennett,eringuerrero@example.org,Laurenland,CO,Silver,2025-10-15,2026-09-21T01:48:16
214,James Bowers,jodistewart@example.org,North Sherrymouth,MN,Bronze,2026-04-27,2026-09-21T01:48:16
215,Ashley Miller,jcole@example.net,Garcialand,MI,Silver,2025-12-04,2026-09-21T01:48:29
216,Linda Mueller,asmith@example.com,Lake Rachelbury,OK,Gold,2025-04-04,2026-09-21T01:48:16
217,Melissa Jackson,kevin72@example.org,South Joshua,ME,Silver,2025-07-17,2026-09-21T01:48:16
218,Mr. David Wright,mwheeler@example.com,East Kevinfurt,MA,Bronze,2025-11-09,2026-09-21T01:48:16
219,Jamie Atkins,pcook@example.net,West Malik,UT,Bronze,2026-09-11,2026-09-21T01:48:16
220,Ernest Oconnell,kelly79@example.org,Nicholasfurt,MN,Gold,2025-12-10,2026-09-21T01:48:16
221,Justin Vargas,erinpierce@example.net,Hahnborough,NV,Silver,2025-08-01,2026-09-21T01:48:29
222,Sandra Jones,ichambers@example.net,Johnberg,VT,Silver,2026-07-18,2026-09-21T01:48:16
223,James Cole,iaguilar@example.net,Stephensstad,UT,Platinum,2026-02-17,2026-09-21T01:48:16
224,Kimberly Little,rodriguezjohn@example.net,Lake Debra,ND,Silver,2026-06-26,2026-09-21T01:48:29
225,Miss Jennifer Goodwin,grodriguez@example.com,Juliechester,MH,Bronze,2026-08-28,2026-09-21T01:48:29
226,Laura Griffin,rford@example.net,Port Lindachester,MA,Gold,2026-06-29,2026-09-21T01:48:29
227,Jason Nixon,guerrajessica@example.com,Matthewborough,NC,Bronze,2026-07-29,2026-09-21T01:48:16
228,Mr. Jeffrey Horton,carlos01@example.org,Deborahburgh,WA,Gold,2025-12-08,2026-09-21T01:48:16
229,Christopher Moore,omullen@example.com,Lake Curtis,WA,Silver,2026-01-07,2026-09-21T01:48:29
230,Omar Ware,yvargas@example.org,East Joshua,VT,Bronze,2026-09-14,2026-09-21T01:48:16
231,Amy Garcia,michaelgonzalez@example.org,Emilyfort,NC,Bronze,2025-11-29,2026-09-21T01:48:16
232,Emily Price,wmatthews@example.com,Williamsonport,PW,Silver,2025-06-17,2026-09-21T01:48:16
233,Angela Anderson,allendaryl@example.com,New Paul,PA,Bronze,2025-11-25,2026-09-21T01:48:16
234,James Lopez,angelaburns@example.org,New Cynthiaside,VA,Gold,2026-02-20,2026-09-21T01:48:29
235,Ian Smith,jamescruz@example.net,Ortizfort,MT,Silver,2025-06-20,2026-09-21T01:48:29
236,Jill Jackson,flynnjeffrey@example.org,Jeffreyport,GA,Bronze,2025-11-21,2026-09-21T01:48:16
237,Krystal Barton,hdunn@example.net,West Kimberlystad,ND,Silver,2025-09-02,2026-09-21T01:48:16
238,Amanda Ball,veronicagarcia@example.net,West Nancy,AZ,Bronze,2025-06-03,2026-09-21T01:48:16
239,Gregory Montoya,hgrimes@example.org,Port Joan,UT,Silver,2026-03-03,2026-09-21T01:48:29
240,Michael Chen,christinaglover@example.org,New Michaelview,PA,Bronze,2026-05-29,2026-09-21T01:48:16
241,Erica Padilla,ashley81@example.org,Sellersview,VI,Bronze,2026-06-03,2026-09-21T01:48:16
242,Meredith Anderson,jenniferpoole@example.net,Burnsshire,SC,Gold,2025-04-19,2026-09-21T01:48:16
243,Jason Hayes,powellkara@example.net,Shawnfort,MD,Bronze,2026-04-23,2026-09-21T01:48:16
244,Sheila Boone,simonstephen@example.net,Melissaside,MO,Bronze,2026-03-25,2026-09-21T01:48:16
245,Jeffrey Lewis,marcus45@example.net,New Melissa,WY,Gold,2026-05-03,2026-09-21T01:48:16
246,Michael Williams,simsmary@example.org,Port Ericmouth,AL,Bronze,2026-06-02,2026-09-21T01:48:16
247,Jessica Forbes DVM,erik41@example.net,Johnstad,TN,Bronze,2025-11-10,2026-09-21T01:48:16
248,Carol Sanders,jessica36@example.net,Lake Codyborough,NJ,Bronze,2026-01-03,2026-09-21T01:48:16
249,Kevin Stone,ssmith@example.com,Port Robertberg,NJ,Bronze,2025-04-28,2026-09-21T01:48:16
250,James Cross,garciamichael@example.com,South Kiara,WV,Silver,2026-05-18,2026-09-21T01:48:16
251,Margaret Byrd,morenoalan@example.net,South Michael,IL,Platinum,2026-07-21,2026-09-21T01:48:29
252,Brittany Jenkins,fheath@example.org,Port David,VA,Gold,2025-04-26,2026-09-21T01:48:16
253,Victor Edwards,johnnewman@example.org,Kimberlytown,PR,Bronze,2025-04-26,2026-09-21T01:48:16
254,Sheri Harris,juliephillips@example.org,South Paul,IA,Bronze,2026-06-11,2026-09-21T01:48:16
